LOINC #,Short Name,Long Common Name,CLASS,Rank
14682-9,Creat SerPl-mCnc,Creatinine [Moles/volume] in Serum or Plasma,Chem,1
718-7,Hgb Bld-mCnc,Hemoglobin [Mass/volume] in Blood,HEM/BC,2
2823-3,Potassium SerPl-sCnc,Potassium [Moles/volume] in Serum or Plasma,Chem,3
14749-6,Glucose SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma,Chem,4
2951-2,Sodium SerPl-sCnc,Sodium [Moles/volume] in Serum or Plasma,Chem,5
3094-0,BUN SerPl-mCnc,Urea nitrogen [Mass/volume] in Serum or Plasma,Chem,6
2028-9,CO2 SerPl-sCnc,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Chem,7
2075-0,Chloride SerPl-sCnc,Chloride [Moles/volume] in Serum or Plasma,Chem,8
789-8,RBC # Bld Auto,Erythrocytes [#/volume] in Blood by Automated count,HEM/BC,9
786-4,MCHC RBC Auto-mCnc,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count,HEM/BC,10
785-6,MCH RBC Qn Auto,Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count,HEM/BC,11
2000-8,Calcium SerPl-mCnc,Calcium [Moles/volume] in Serum or Plasma,Chem,12
15074-8,Glucose Bld-mCnc,Glucose [Moles/volume] in Blood,Chem,13
4544-3,Hct VFr Bld Auto,Hematocrit [Volume Fraction] of Blood by Automated count,HEM/BC,14
6690-2,WBC # Bld Auto,Leukocytes[#/volume] in Blood by Automated count ,HEM/BC,15
1742-6,ALT SerPl-cCnc,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Chem,16
787-2,MCV RBC Auto,Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,HEM/BC,17
777-3,Platelet # Bld Auto,Platelets [#/volume] in Blood by Automated count,HEM/BC,18
1920-8,AST SerPl-cCnc,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Chem,19
1751-7,Albumin SerPl-mCnc,Albumin [Mass/volume] in Serum or Plasma,Chem,20
14631-6,Bilirub SerPl-mCnc,Bilirubin.total [Moles/volume] in Serum or Plasma,Chem,21
2885-2,Prot SerPl-mCnc,Protein [Mass/volume] in Serum or Plasma,Chem,22
6768-6,ALP SerPl-cCnc,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Chem,23
788-0,RDW RBC Auto-Rto,Erythrocyte distribution width [Ratio] by Automated count,HEM/BC,24
770-8,Neutrophils NFr Bld Auto,Neutrophils/100 leukocytes in Blood by Automated count,HEM/BC,25
33914-3,GFR/BSA.pred SerPl MDRD-ArVRat,Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD),Chem,26
704-7,Basophils # Bld Auto,Basophils [#/volume] in Blood by Automated count,HEM/BC,27
20570-8,Hct VFr Bld,Hematocrit [Volume Fraction] of Blood,HEM/BC,28
48642-3,GFR/BSA pred.non black SerPl MDRD-ArVRat,Glomerular filtration rate/1.73 sq M predicted among non-blacks by Creatinine-based formula (MDRD),Chem,29
48643-1,GFR/BSA pred.black SerPl MDRD-ArVRat,Glomerular filtration rate/1.73 sq M predicted among blacks by Creatinine-based formula (MDRD),Chem,30
26515-7,Platelet # Bld,Platelets [#/volume] in Blood,HEM/BC,31
14647-2,Cholest SerPl-mCnc,Cholesterol [Moles/volume] in Serum or Plasma,Chem,32
26464-8,WBC # Bld,Leukocytes [#/volume] in Blood,HEM/BC,33
30428-7,MCV RBC,Erythrocyte mean corpuscular volume [Entitic volume],HEM/BC,34
731-0,Lymphocytes # Bld Auto,Lymphocytes [#/volume] in Blood by Automated count,HEM/BC,35
14927-8,Trigl SerPl-mCnc,Triglyceride [Moles/volume] in Serum or Plasma,Chem,36
10466-1,Anion Gap3 SerPl-sCnc,Anion gap 3 in Serum or Plasma,Chem,37
14646-4,HDLc SerPl-mCnc,Cholesterol in HDL [Moles/volume] in Serum or Plasma,Chem,38
6463-4,Bacteria XXX Cult,Bacteria identified in Unspecified specimen by Culture,MICRO,39
26485-3,Monocytes NFr Bld,Monocytes/100 leukocytes in Blood,HEM/BC,40
736-9,Lymphocytes NFr Bld Auto,Lymphocytes/100 leukocytes in Blood by Automated count,HEM/BC,41
706-2,Basophils NFr Bld Auto,Basophils/100 leukocytes in Blood by Automated count,HEM/BC,42
713-8,Eosinophil NFr Bld Auto,Eosinophils/100 leukocytes in Blood by Automated count,HEM/BC,43
5905-5,Monocytes NFr Bld Auto,Monocytes/100 leukocytes in Blood by Automated count,HEM/BC,44
26478-8,Lymphocytes NFr Bld,Lymphocytes/100 leukocytes in Blood,HEM/BC,45
751-8,Neutrophils # Bld Auto,Neutrophils [#/volume] in Blood by Automated count,HEM/BC,46
5902-2,Prothrombin time,Prothrombin time (PT),COAG,47
5902-2,PT Time PPP,Prothrombin time (PT) in Platelet poor plasma by Coagulation assay,COAG,47
33069-6,Fet Width.translucency US.meas,Fetal Neck.soft tissue Translucency width US,OB.US,48
26450-7,Eosinophil NFr Bld,Eosinophils/100 leukocytes in Blood,HEM/BC,49
711-2,Eosinophil # Bld Auto,Eosinophils [#/volume] in Blood by Automated count,HEM/BC,50
22637-3,Path report.final Dx Spec,Pathology report final diagnosis,TUMRRGT,51
742-7,Monocytes # Bld Auto,Monocytes [#/volume] in Blood by Automated count,HEM/BC,52
6301-6,INR PPP,INR in Platelet poor plasma by Coagulation assay,COAG,53
30180-4,Basophils NFr Bld,Basophils/100 leukocytes in Blood,HEM/BC,54
3097-3,BUN/Creat SerPl-mRto,Urea nitrogen/Creatinine [Mass ratio] in Serum or Plasma,Chem,55
5802-4,Nitrite Ur Ql Strip,Nitrite [Presence] in Urine by Test strip,UA,56
26499-4,Neutrophils # Bld,Neutrophils [#/volume] in Blood,HEM/BC,57
5778-6,Color Ur,Color of Urine,SPEC,58
5803-2,pH Ur Strip,pH of Urine by Test strip,UA,59
1759-0,Albumin/Glob SerPl-mRto,Albumin/Globulin [Mass ratio] in Serum or Plasma,Chem,60
26484-6,Monocytes # Bld,Monocytes [#/volume] in Blood,HEM/BC,61
10834-0,Globulin Ser Calc-mCnc,Globulin [Mass/volume] in Serum by calculation,Chem,62
39469-2,LDLc SerPl Calc-mCnc,Cholesterol in LDL [Moles/volume] in Serum or Plasma by calculation,Chem,63
5770-3,Bilirub Ur Ql Strip,Bilirubin [Presence] in Urine by Test strip,UA,64
5799-2,Leukocyte esterase Ur Ql Strip,Leukocyte esterase [Presence] in Urine by Test strip,UA,65
5767-9,Appearance Ur,Appearance of Urine,SPEC,66
26449-9,Eosinophil # Bld,Eosinophils [#/volume] in Blood,HEM/BC,67
66126-4,VLDLc SerPl Calc-mCnc,Cholesterol in VLDL [Moles/volume] in Serum or Plasma by calculation,Chem,68
14879-1,Phosphate SerPl-mCnc,Phosphate [Moles/volume] in Serum or Plasma,Chem,69
26474-7,Lymphocytes # Bld,Lymphocytes [#/volume] in Blood,HEM/BC,70
5811-5,Sp Gr Ur Strip,Specific gravity of Urine by Test strip,UA,71
5794-3,Hgb Ur Ql Strip,Hemoglobin [Presence] in Urine by Test strip,UA,72
22705-8,Glucose Ur Strip-mCnc,Glucose [Moles/volume] in Urine by Test strip,UA,73
5804-0,Prot Ur Strip-mCnc,Protein [Mass/volume] in Urine by Test strip,UA,74
11579-0,TSH SerPl DL<=0.05 mIU/L-aCnc,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,Chem,75
26511-6,Neutrophils NFr Bld,Neutrophils/100 leukocytes in Blood,HEM/BC,76
3173-2,aPTT Time Bld,Activated partial thromboplastin time (aPTT) in Blood by Coagulation assay,COAG,77
2601-3,Magnesium SerPl-sCnc,Magnesium [Moles/volume] in Serum or Plasma,Chem,78
5821-4,WBC #/area UrnS HPF,Leukocytes [#/area] in Urine sediment by Microscopy high power field,UA,79
22702-5,Ketones Ur Strip-mCnc,Ketones [Moles/volume] in Urine by Test strip,UA,80
4548-4,Hgb A1c MFr Bld,Hemoglobin A1c/Hemoglobin.total in Blood,HEM/BC,81
14629-0,Bilirub Direct SerPl-mCnc,Bilirubin.direct [Moles/volume] in Serum or Plasma,Chem,82
2336-6,Globulin Ser-mCnc,Globulin [Mass/volume] in Serum,Chem,83
11555-0,Base excess Bld-sCnc,Base excess in Blood,Chem,84
47527-7,Cytology Cvx/Vag Doc Thin Prep,Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep,CYTO,85
11557-6,pCO2 Bld,Carbon dioxide [Partial pressure] in Blood,Chem,86
11556-8,pO2 Bld,Oxygen [Partial pressure] in Blood,Chem,87
22636-5,Path report.relevant Hx Spec,Pathology report relevant history,TUMRRGT,88
5769-5,Bacteria #/area UrnS HPF,Bacteria [#/area] in Urine sediment by Microscopy high power field,UA,89
2157-6,CK SerPl-cCnc,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Chem,90
32309-7,Cholest/HDLc SerPl-mRto,Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma,Chem,91
22748-8,LDLc SerPl-mCnc,Cholesterol in LDL [Moles/volume] in Serum or Plasma,Chem,92
630-4,Bacteria Ur Cult,Bacteria identified in Urine by Culture,MICRO,93
2601-3,Magnesium SerPl-mCnc,Magnesium [Moles/volume] in Serum or Plasma,Chem,94
2713-6,SaO2% from pO2 Bld,Oxygen saturation.calculated from oxygen partial pressure in Blood,Chem,95
22638-1,Path report.comments Imp Spec,Pathology report comments,TUMRRGT,96
11558-4,pH Bld,pH of Blood,Chem,97
